pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta,dificultad,porcentajes_aciertos,cantidad_fallo,cantidad_aciertos,cantidad_pregunta
¿Qué palabra clave se usa para definir una función en Python?,function,define,def,fun,3,medio,,,,
¿Cuál de estas estructuras permite repetir código mientras se cumple una condición?,for,if,while,repeat,3,medio,,,,
¿Qué tipo de bucle se usa para iterar sobre una lista?,loop,for,while,repeat,2,medio,,,,
¿Cuál es el índice del primer elemento en una lista de Python?,0,1,-1,Depende,1,medio,,,,
¿Qué operador lógico representa 'y' en Python?,&&,and,&,y,2,medio,,,,
¿Qué hace el método append() en una lista?,Elimina un elemento,Agrega elemento al inicio,Agrega un elemento al final,Reemplaza un elemento,3,medio,,,,
¿Cuál es el resultado de type(3.0)?,int,float,str,bool,2,medio,,,,
¿Cuál es el resultado de 10 // 3 en Python?,3,3.33,3.0,Error,1,medio,,,,
¿Qué función se usa para mostrar datos en pantalla en Python?,output(),mostrar(),print(),echo(),3,facil,,,,
¿Qué símbolo se usa para asignar un valor a una variable en Python?,=,==,:=,=>,1,facil,,,,
¿Qué tipo de dato representa texto en Python?,int,str,float,bool,2,facil,,,,
¿Qué palabra clave inicia una estructura condicional en Python?,if,when,cond,case,1,facil,,,,
¿Qué tipo de dato representa números enteros?,float,int,str,bool,2,facil,,,,
¿Qué operador se usa para sumar en Python?,*,/,-,+,4,facil,,,,
¿Cuál es el resultado de 3 + 4 en Python?,34,7,12,5,2,facil,,,,
¿Qué palabra se usa para pedir datos al usuario en Python?,scan(),input(),read(),ask(),2,facil,,,,
¿Qué tipo de dato se usa para representar verdadero o falso?,int,str,bool,float,3,facil,,,,
¿Qué operador se usa para comparar igualdad en Python?,==,=,===,!,1,facil,,,,
¿Qué estructura de datos permite almacenar pares clave-valor?,list,tuple,set,dict,4,dificil,,,,
¿Qué función convierte una cadena a entero?,int(),str(),float(),input(),1,dificil,,,,
¿Qué hace una función lambda en Python?,Define clases,Define funciones anónimas,Importa librerías,Crea loops,2,dificil,,,,
¿Qué significa el error 'IndentationError'?,Error de sintaxis,Error de importación,Error por espacios o tabulaciones,Error de ejecución,3,dificil,,,,
¿Qué módulo se usa para trabajar con expresiones regulares?,math,re,regex,random,2,dificil,,,,
¿Qué significa *args en una función?,Argumento obligatorio,Lista de argumentos variables,Error de sintaxis,Argumento de palabra clave,2,dificil,,,,
¿Con qué extensión se guardan los archivos Python?,.txt,.java,.py,.html,3,facil,,,,
¿Cuál es el valor de 5 * 2 en Python?,10,25,7,52,1,facil,,,,
¿Qué palabra se usa para definir una condición?,for,if,elif,else,2,facil,,,,
¿Qué imprime print('Hola ' + 'Mundo')?,HolaMundo,Hola + Mundo,Hola Mundo,Error,3,facil,,,,
¿Qué tipo de dato es 3.14?,int,str,float,bool,3,facil,,,,
¿Qué función se usa para saber cuántos elementos tiene una lista?,count(),length(),len(),size(),3,facil,,,,
¿Cuál es el operador para restar en Python?,*,/,+,-,4,facil,,,,
¿Qué hace la función type()?,Devuelve el valor de una variable,Muestra el tipo de dato,Cambia el tipo de dato,Imprime texto,2,facil,,,,
¿Cómo se comenta una línea en Python?,// comentario,-- comentario,# comentario,/_ comentario _/,3,facil,,,,
¿Cuál es el índice del primer elemento en una lista?,1,0,-1,Primer,2,facil,,,,
¿Qué operador se usa para dividir en Python?,\,/,//,%,2,facil,,,,
¿Qué valor retorna la expresión 10 // 3?,3.33,3,3.0,Error,2,facil,,,,
¿Qué palabra clave se usa para terminar un bucle antes de tiempo?,exit,stop,end,break,4,facil,,,,
¿Qué tipo de estructura es una lista?,Secuencia de caracteres,Colección de elementos ordenados,Valor booleano,Número,2,facil,,,,
¿Cómo se declara una lista vacía?,[],{},(),'',1,facil,,,,
¿Qué función se usa para recibir texto del usuario?,ask(),get(),input(),type(),3,facil,,,,
¿Qué valor booleano tiene la cadena vacía ''?,True,False,None,0,2,facil,,,,
¿Qué símbolo representa desigualdad en Python?,!=,==,<>,!==,1,facil,,,,
¿Qué palabra clave se usa junto con if para otra condición?,elif,else,when,elseif,1,facil,,,,
¿Cuál de los siguientes no es un tipo de dato en Python?,int,str,bool,real,4,facil,,,,
¿Qué hace print(len('hola'))?,4,5,3,Error,1,facil,,,,
¿Cómo se accede al último elemento de una lista?,[1],[-1],[0],[last],2,facil,,,,
¿Qué hace la función ord('A')?,Convierte A en ASCII,Convierte A en string,Devuelve 'A',Error,1,facil,,,,
¿Qué resultado da bool(0)?,True,False,0,None,2,facil,,,,
¿Cuál es el resultado de not True?,False,True,None,Error,1,facil,,,,
¿Qué operador representa el módulo (resto de división)?,/,//,%,**,3,facil,,,,
¿Qué función permite convertir una lista en texto separado por comas?,join(),split(),append(),concat(),1,facil,,,,
¿Qué estructura se usa para ejecutar un bloque de código varias veces en Python?,if,while,loop,repeat,2,medio,,,,
¿Qué palabra clave se usa para definir una función en Python?,function,define,def,func,3,medio,,,,
¿Cuál de estos no es un tipo de bucle en Python?,for,loop,while,anidado,2,medio,,,,
¿Qué tipo de dato se usa para almacenar múltiples elementos en un solo objeto?,int,list,str,bool,2,medio,,,,
¿Qué función se usa para obtener la longitud de una lista?,count(),length(),len(),size(),3,medio,,,,
¿Cómo se accede al primer elemento de una lista llamada 'mi_lista'?,mi_lista[0],mi_lista(0),mi_lista{0},mi_lista<0>,1,medio,,,,
¿Qué operador se utiliza para verificar si dos valores son diferentes?,!=,==,<>,==!,1,medio,,,,
¿Qué palabra clave se usa para retornar un valor desde una función?,break,return,exit,stop,2,medio,,,,
¿Cuál es el valor booleano de una lista vacía?,True,False,None,0,2,medio,,,,
¿Qué operador lógico representa la conjunción (Y lógico)?,&&,&,and,y,3,medio,,,,
¿Qué función convierte un string a un entero?,str(),int(),float(),bool(),2,medio,,,,
¿Qué función convierte un número en su valor ASCII correspondiente?,ascii(),str(),chr(),ord(),3,medio,,,,
¿Qué método se usa para agregar un elemento al final de una lista?,append(),insert(),add(),push(),1,medio,,,,
¿Cuál es el resultado de 10 % 3 en Python?,3,0.3,1,3.333,3,medio,,,,
¿Qué operador se usa para elevar un número a una potencia?,^,**,pow,exp,2,medio,,,,
¿Qué palabra clave se usa para manejar excepciones en Python?,error,try,except,catch,3,medio,,,,
¿Qué tipo de estructura es un diccionario?,colección ordenada,pares clave-valor,array,string especial,2,medio,,,,
¿Qué función se usa para recorrer una secuencia con índice?,range(),enumerate(),zip(),loop(),2,medio,,,,
¿Qué función permite aplicar una transformación a cada elemento de una lista?,map(),filter(),reduce(),apply(),1,medio,,,,
¿Qué devuelve la función type(3.14)?,int,<class 'int'>,<class 'float'>,float,3,medio,,,,
¿Qué imprime print('a' * 3)?,aaa,a3,Error,3a,1,medio,,,,
¿Qué hace la función sorted()?,Ordena una lista,Cuenta elementos,Reversa una lista,Corta una lista,1,medio,,,,
¿Cuál es el resultado de len('Python')?,6,5,7,Error,1,medio,,,,
¿Qué imprime print(2 == 2.0)?,True,False,Error,None,1,medio,,,,
¿Qué palabra se usa para omitir una iteración en un bucle?,exit,break,continue,skip,3,medio,,,,
¿Qué valor tiene True + True en Python?,2,True,1,Error,1,medio,,,,
¿Qué operador se usa para concatenar cadenas?,+,&,.,concat,1,medio,,,,
¿Qué hace el operador 'in'?,Compara dos variables,Asigna un valor,Verifica si elemento está en una colección,Intercambia variables,3,medio,,,,
